accession,symbol,description,log2FC,pval,padj
Q86X55,CARM1,Histone-arginine methyltransferase CARM1 OS=Homo sapiens OX=9606 GN=CARM1 PE=1 SV=3,0.03520222648360827,0.011826897736639383,0.02414308361675196
Q93050,ATP6V0A1,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Homo sapiens OX=9606 GN=ATP6V0A1 PE=1 SV=3,0.14026081086631004,0.011864691171364593,0.024212758649710706
Q96E52,OMA1,"Metalloendopeptidase OMA1, mitochondrial OS=Homo sapiens OX=9606 GN=OMA1 PE=1 SV=1",0.10220880547118849,0.011883545305255146,0.02424375240924006
P52737,ZNF136,Zinc finger protein 136 OS=Homo sapiens OX=9606 GN=ZNF136 PE=1 SV=1,0.16434853362752344,0.01189552281919458,0.024260702307376484
Q9C0D3,ZYG11B,Protein zyg-11 homolog B OS=Homo sapiens OX=9606 GN=ZYG11B PE=1 SV=2,-0.2892454598190506,0.011948286355978137,0.024360798453816664
Q96EU7,C1GALT1C1,C1GALT1-specific chaperone 1 OS=Homo sapiens OX=9606 GN=C1GALT1C1 PE=1 SV=1,0.08314458161696131,0.011963637726973862,0.024377837677048275
P26196,DDX6,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,-0.11171922532159329,0.011964017432247679,0.024377837677048275
Q13601,KRR1,KRR1 small subunit processome component homolog OS=Homo sapiens OX=9606 GN=KRR1 PE=1 SV=4,-0.060701264815056,0.011970179413964402,0.024382879323823974
Q9BQA1,WDR77,Methylosome protein 50 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1,0.05619330855799043,0.011980512905710108,0.0243964124830783
Q2M389,WASHC4,WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2,0.05371648248895777,0.012013015681058982,0.024449973041675222
O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,-0.07778343492039541,0.012014210891167996,0.024449973041675222
Q9Y365,STARD10,START domain-containing protein 10 OS=Homo sapiens OX=9606 GN=STARD10 PE=1 SV=2,0.39418665062068126,0.012039861957492085,0.0244946360809039
Q15773,MLF2,Myeloid leukemia factor 2 OS=Homo sapiens OX=9606 GN=MLF2 PE=1 SV=1,-0.2856692096609888,0.012074639462331038,0.0245578333204961
Q709C8,VPS13C,Vacuolar protein sorting-associated protein 13C OS=Homo sapiens OX=9606 GN=VPS13C PE=1 SV=1,0.05946444777640458,0.012093770193528464,0.02458917851156525
P49720,PSMB3,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,0.09595544166539693,0.01210902240343647,0.0246126210056938
Q5VWN6,TASOR2,Protein TASOR 2 OS=Homo sapiens OX=9606 GN=TASOR2 PE=1 SV=1,-0.04552622572728138,0.012142526094121702,0.024671529522661745
Q7Z5W3,BCDIN3D,RNA 5'-monophosphate methyltransferase OS=Homo sapiens OX=9606 GN=BCDIN3D PE=1 SV=1,0.14371385070515164,0.012148707309125392,0.024671529522661745
Q96A08,H2BC1,Histone H2B type 1-A OS=Homo sapiens OX=9606 GN=H2BC1 PE=1 SV=3,0.06464358100911838,0.012149198446126231,0.024671529522661745
Q13371,PDCL,Phosducin-like protein OS=Homo sapiens OX=9606 GN=PDCL PE=1 SV=3,-0.10819119331315807,0.012161875068562603,0.02468968927029043
Q9P0W2,HMG20B,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related OS=Homo sapiens OX=9606 GN=HMG20B PE=1 SV=1,-0.138317908899398,0.012204264378247174,0.02476813875659003
O15265,ATXN7,Ataxin-7 OS=Homo sapiens OX=9606 GN=ATXN7 PE=1 SV=1,0.19527860405351927,0.012220059656844048,0.02478920588281114
Q96S59,RANBP9,Ran-binding protein 9 OS=Homo sapiens OX=9606 GN=RANBP9 PE=1 SV=1,-0.20757720167644633,0.012222143251355764,0.02478920588281114
Q9BSJ8,ESYT1,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,-0.06266345193399303,0.012246582638575391,0.02483115743828902
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,-0.033530221094673074,0.01227250465788466,0.02487217198539142
Q15800,MSMO1,Methylsterol monooxygenase 1 OS=Homo sapiens OX=9606 GN=MSMO1 PE=1 SV=1,-0.15002859988539052,0.012274334118017574,0.02487217198539142
Q96C90,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens OX=9606 GN=PPP1R14B PE=1 SV=3,0.06801326618907699,0.012283058388896562,0.024882224898095606
Q8IXH7,NELFCD,Negative elongation factor C/D OS=Homo sapiens OX=9606 GN=NELFCD PE=1 SV=2,0.060703531037352626,0.012314730805580919,0.024938744283767546
O14638,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Homo sapiens OX=9606 GN=ENPP3 PE=1 SV=2,0.20327988374900352,0.012383359519533703,0.02507004689012763
Q15050,RRS1,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,-0.3543473710158467,0.012387381612096012,0.025070513382056576
Q8N4Q1,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40 OS=Homo sapiens OX=9606 GN=CHCHD4 PE=1 SV=1,-0.12424660233222407,0.012406849445288736,0.025102230273026046
O43852,CALU,Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2,0.09832659440157343,0.012439537527334012,0.025160667522402105
P55957,BID,BH3-interacting domain death agonist OS=Homo sapiens OX=9606 GN=BID PE=1 SV=1,0.0885560540442703,0.012445823424631913,0.02516568332833829
Q6UWP2,DHRS11,Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens OX=9606 GN=DHRS11 PE=1 SV=1,-0.44937880286746196,0.012452822564896649,0.02517213781690512
Q06330,RBPJ,Recombining binding protein suppressor of hairless OS=Homo sapiens OX=9606 GN=RBPJ PE=1 SV=3,-0.06910235454483615,0.012496928441476577,0.025253572999707558
O15258,RER1,Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1,0.18492393465406365,0.012531744856573603,0.02531619217588288
Q9H3C7,GGNBP2,Gametogenetin-binding protein 2 OS=Homo sapiens OX=9606 GN=GGNBP2 PE=1 SV=1,-0.42782285255035246,0.012547036934378142,0.02533934276423588
Q8N8A2,ANKRD44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Homo sapiens OX=9606 GN=ANKRD44 PE=1 SV=3,0.0870513741677801,0.012564488974554212,0.025366840030458762
Q96S52,PIGS,GPI transamidase component PIG-S OS=Homo sapiens OX=9606 GN=PIGS PE=1 SV=3,0.14797987291129822,0.012574758857735244,0.02537982465425685
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",-0.08944665239656846,0.012585804775339481,0.02539436715732214
Q96L92,SNX27,Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=2,-0.3692204071946448,0.01259592761743083,0.025407038867130156
Q6P3S1,DENND1B,DENN domain-containing protein 1B OS=Homo sapiens OX=9606 GN=DENND1B PE=1 SV=2,0.23208362909493996,0.012643173992409617,0.02549456128021116
Q96A33,CCDC47,Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1,0.061007896646666504,0.012680644143919532,0.02555553529523091
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50 OS=Homo sapiens OX=9606 GN=CCDC50 PE=1 SV=1,0.10917526663623445,0.01268114206044353,0.02555553529523091
Q9UEE5,STK17A,Serine/threonine-protein kinase 17A OS=Homo sapiens OX=9606 GN=STK17A PE=1 SV=2,0.16451439386531197,0.012733246137778119,0.02565021543058377
Q9UKI3,VPREB3,Pre-B lymphocyte protein 3 OS=Homo sapiens OX=9606 GN=VPREB3 PE=2 SV=1,-0.17044963067697488,0.012735882827980417,0.02565021543058377
Q9NRG7,SDR39U1,Epimerase family protein SDR39U1 OS=Homo sapiens OX=9606 GN=SDR39U1 PE=1 SV=3,0.12954497795945308,0.012749427736658683,0.025669676064186117
O60830,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B OS=Homo sapiens OX=9606 GN=TIMM17B PE=1 SV=1,-0.10006098564255606,0.012759054771250599,0.025681239009896183
Q9H490,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens OX=9606 GN=PIGU PE=1 SV=3,0.1002014129100175,0.012778052970651425,0.025711651321347298
Q9BQE5,APOL2,Apolipoprotein L2 OS=Homo sapiens OX=9606 GN=APOL2 PE=1 SV=1,-0.17148189919155765,0.012801868210967987,0.02575173489836335
Q9NSY1,BMP2K,BMP-2-inducible protein kinase OS=Homo sapiens OX=9606 GN=BMP2K PE=1 SV=2,-0.0644469954780913,0.012935672691568163,0.026012976835963715
Q7Z7E8,UBE2Q1,Ubiquitin-conjugating enzyme E2 Q1 OS=Homo sapiens OX=9606 GN=UBE2Q1 PE=1 SV=1,-0.12555267643625118,0.012939947087358497,0.026013660730195922
P56537,EIF6,Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,-0.09757678924165702,0.012947500795030206,0.026020934728492314
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS12 PE=1 SV=1",0.07709056837340089,0.012972418159999518,0.026063089903955276
P63000,RAC1,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1,0.225659858625733,0.013001497789967774,0.02611357940074937
Q9NZL9,MAT2B,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1,0.052217457305010484,0.013044707857753765,0.026192410675817762
P84022,SMAD3,Mothers against decapentaplegic homolog 3 OS=Homo sapiens OX=9606 GN=SMAD3 PE=1 SV=1,0.35369261369272176,0.013108111923285896,0.026311729215776063
P15927,RPA2,Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,0.10748301899151969,0.013127957582914608,0.026343567689903303
Q96G23,CERS2,Ceramide synthase 2 OS=Homo sapiens OX=9606 GN=CERS2 PE=1 SV=1,-0.06603243868512543,0.013161034090502424,0.026401928824757896
Q9NWY4,HPF1,Histone PARylation factor 1 OS=Homo sapiens OX=9606 GN=HPF1 PE=1 SV=2,-0.14441806442803617,0.013178327470212442,0.026428602133164895
Q8IUQ0,CLVS1,Clavesin-1 OS=Homo sapiens OX=9606 GN=CLVS1 PE=1 SV=1,0.16445433737341197,0.013204674270954756,0.026473410030185825
P13073,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1",-0.050167717264049116,0.013283759995655928,0.02662389241930191
Q96PK6,RBM14,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,0.04076607110251018,0.01329517254529814,0.026638691172579183
Q9Y5J6,TIMM10B,Mitochondrial import inner membrane translocase subunit Tim10 B OS=Homo sapiens OX=9606 GN=TIMM10B PE=1 SV=1,-0.14439441246397022,0.013331854919228356,0.02670409716023565
Q9H9P8,L2HGDH,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3",0.09819911576604778,0.013355402874079958,0.02674316287202201
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens OX=9606 GN=PCBD1 PE=1 SV=2,0.03795135747630124,0.013413539610495082,0.02685144532382485
P27797,CALR,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,0.17520564467380506,0.013424174777850352,0.026864601583276797
Q9UL26,RAB22A,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,0.14208541671721397,0.013431423831141726,0.026870975604087473
Q8NFH5,NUP35,Nucleoporin NUP35 OS=Homo sapiens OX=9606 GN=NUP35 PE=1 SV=1,-0.1190520774377184,0.013435849555713919,0.026871699111427838
Q6FIF0,ZFAND6,AN1-type zinc finger protein 6 OS=Homo sapiens OX=9606 GN=ZFAND6 PE=1 SV=2,-0.15982101014315564,0.013441665008841114,0.026875200797840174
Q9NUQ3,TXLNG,Gamma-taxilin OS=Homo sapiens OX=9606 GN=TXLNG PE=1 SV=2,-0.07745422823665948,0.01352466986645627,0.027032985839482722
P01834,IGKC,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,0.14708086597437253,0.013537244231673412,0.02704994223627217
P05107,ITGB2,Integrin beta-2 OS=Homo sapiens OX=9606 GN=ITGB2 PE=1 SV=2,0.12896375024369144,0.013567107251401677,0.02710142391125918
Q96SB8,SMC6,Structural maintenance of chromosomes protein 6 OS=Homo sapiens OX=9606 GN=SMC6 PE=1 SV=2,-0.041777398374760466,0.013578836016130502,0.027112208103405484
Q7RTP6,MICAL3,[F-actin]-monooxygenase MICAL3 OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=2,0.1427916048730934,0.013580706781379152,0.027112208103405484
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1 OS=Homo sapiens OX=9606 GN=B4GAT1 PE=1 SV=1",-0.12290395677721078,0.013591540013257616,0.02712564520605474
P11049,CD37,Leukocyte antigen CD37 OS=Homo sapiens OX=9606 GN=CD37 PE=1 SV=2,0.26277736132323043,0.013618831803701156,0.02717191185457817
Q8TAF3,WDR48,WD repeat-containing protein 48 OS=Homo sapiens OX=9606 GN=WDR48 PE=1 SV=1,0.060714086566077796,0.013632478523584542,0.027190934539348715
Q5VTR2,RNF20,E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens OX=9606 GN=RNF20 PE=1 SV=2,-0.06513290735762745,0.013650107591472057,0.02721788642786889
Q8NFP9,NBEA,Neurobeachin OS=Homo sapiens OX=9606 GN=NBEA PE=1 SV=3,0.2616364342651636,0.013663543609330515,0.027236463775970263
Q9Y6I3,EPN1,Epsin-1 OS=Homo sapiens OX=9606 GN=EPN1 PE=1 SV=2,0.17198386766901902,0.01368370575196832,0.027268433523813904
Q9UGU0,TCF20,Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,-0.10044743536434608,0.013689424781160201,0.02727161092287775
P41214,EIF2D,Eukaryotic translation initiation factor 2D OS=Homo sapiens OX=9606 GN=EIF2D PE=1 SV=3,-0.03116358312277967,0.013700312792864482,0.027285080779042153
Q9NVE7,PANK4,4'-phosphopantetheine phosphatase OS=Homo sapiens OX=9606 GN=PANK4 PE=1 SV=1,0.19265166213590407,0.013741085243294355,0.02735804144193384
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,-0.0427889750635142,0.013750932338011234,0.027369405363916396
Q9NR56,MBNL1,Muscleblind-like protein 1 OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=2,-0.05252627455090453,0.013769849939729949,0.027398810653474097
Q13309,SKP2,S-phase kinase-associated protein 2 OS=Homo sapiens OX=9606 GN=SKP2 PE=1 SV=2,-0.06938112828423204,0.013775990613657347,0.02740278277301516
Q96H20,SNF8,Vacuolar-sorting protein SNF8 OS=Homo sapiens OX=9606 GN=SNF8 PE=1 SV=1,0.1813379848949337,0.013850662528947686,0.027538024224913023
Q9NP64,ZCCHC17,Nucleolar protein of 40 kDa OS=Homo sapiens OX=9606 GN=ZCCHC17 PE=1 SV=1,0.05794285153006662,0.01385230922142479,0.027538024224913023
Q6KC79,NIPBL,Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2,0.05437440415793349,0.01393759483843336,0.027691232921881786
Q6ZV73,FGD6,"FYVE, RhoGEF and PH domain-containing protein 6 OS=Homo sapiens OX=9606 GN=FGD6 PE=1 SV=2",0.12390702146129318,0.013938510586875003,0.027691232921881786
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=ARMC8 PE=1 SV=2,-0.05769021806632524,0.013941941076367885,0.027691232921881786
Q9H0F7,ARL6,ADP-ribosylation factor-like protein 6 OS=Homo sapiens OX=9606 GN=ARL6 PE=1 SV=1,0.06680108437150611,0.013969198937112338,0.027731120602280415
Q9NXV6,CDKN2AIP,CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3,-0.03772011601381542,0.013970411785571091,0.027731120602280415
O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens OX=9606 GN=DVL2 PE=1 SV=1,-0.14020788249321758,0.013981093254070443,0.027743994176444707
Q92538,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2,0.027558745586441002,0.014001303191522457,0.027775762586962644
Q969T4,UBE2E3,Ubiquitin-conjugating enzyme E2 E3 OS=Homo sapiens OX=9606 GN=UBE2E3 PE=1 SV=1,-0.685472785997292,0.014060300701088272,0.027884435583561986
Q9H4I2,ZHX3,Zinc fingers and homeoboxes protein 3 OS=Homo sapiens OX=9606 GN=ZHX3 PE=1 SV=3,-0.10210930155049036,0.014071165933385013,0.027897615937493764
Q7Z6E9,RBBP6,E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1,-0.08391418561704489,0.014084665492593783,0.027916009663378327
Q96C36,PYCR2,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1,-0.07755452135806506,0.014113961234551924,0.027965691244488257
Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1,-0.08226268459315966,0.014142327235755788,0.028013501402881148
O60925,PFDN1,Prefoldin subunit 1 OS=Homo sapiens OX=9606 GN=PFDN1 PE=1 SV=2,0.05720861092618246,0.01415604904818184,0.028032284009157925
P04003,C4BPA,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2,0.22958964924043967,0.01417133943623764,0.028054160584551877
Q9H0Q0,CYRIA,CYFIP-related Rac1 interactor A OS=Homo sapiens OX=9606 GN=CYRIA PE=2 SV=1,0.1305521164297373,0.014192707182404361,0.028088051448685317
Q13595,TRA2A,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,0.16996889863760423,0.014200989108512604,0.02809603231163535
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens OX=9606 GN=ACSL1 PE=1 SV=1,-0.04344449298046582,0.014217012845413286,0.028119320650275993
Q8IYB7,DIS3L2,DIS3-like exonuclease 2 OS=Homo sapiens OX=9606 GN=DIS3L2 PE=1 SV=4,0.1558808978756976,0.014268818389204673,0.028213345451381964
Q9BU76,MMTAG2,Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1,-0.2985327798294706,0.014292111823055197,0.02825095467086426
Q16836,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3",0.16054056955273666,0.014317307999153714,0.028283785722264528
O95249,GOSR1,Golgi SNAP receptor complex member 1 OS=Homo sapiens OX=9606 GN=GOSR1 PE=1 SV=1,0.07615718745738026,0.014320222364920095,0.028283785722264528
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1 OS=Homo sapiens OX=9606 GN=LSM1 PE=1 SV=1,0.0737564942777813,0.014321553931963344,0.028283785722264528
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens OX=9606 GN=EIF4E2 PE=1 SV=1,-0.05431171275071586,0.014370959966787559,0.028372883637025777
Q9Y6X5,ENPP4,Bis(5'-adenosyl)-triphosphatase ENPP4 OS=Homo sapiens OX=9606 GN=ENPP4 PE=1 SV=3,0.1221172536877475,0.014397108640856266,0.02839896956478968
Q6PEV8,FAM199X,Protein FAM199X OS=Homo sapiens OX=9606 GN=FAM199X PE=1 SV=1,-0.1617293909963191,0.014399895953423728,0.02839896956478968
Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12 OS=Homo sapiens OX=9606 GN=PDE12 PE=1 SV=2",-0.08879471376246961,0.01440134125791916,0.02839896956478968
Q9Y4D8,HECTD4,Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=5,0.15806903884561585,0.014401352835865062,0.02839896956478968
Q96S15,WDR24,GATOR complex protein WDR24 OS=Homo sapiens OX=9606 GN=WDR24 PE=1 SV=2,-0.15083819495082063,0.01443469415312095,0.0284562306918413
Q8WVY7,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens OX=9606 GN=UBLCP1 PE=1 SV=2,0.0935077487754632,0.01445124045504922,0.02848035823808806
Q96DC7,TMCO6,Transmembrane and coiled-coil domain-containing protein 6 OS=Homo sapiens OX=9606 GN=TMCO6 PE=1 SV=2,-0.08719055991661206,0.01449613996815886,0.028560332976599045
Q9Y3L5,RAP2C,Ras-related protein Rap-2c OS=Homo sapiens OX=9606 GN=RAP2C PE=1 SV=1,0.10811030135126254,0.01453569532471408,0.0286297341337532
Q86W74,ANKRD46,Ankyrin repeat domain-containing protein 46 OS=Homo sapiens OX=9606 GN=ANKRD46 PE=1 SV=1,-0.22786802010944252,0.014542334104496105,0.02863428025578566
Q9BUP3,HTATIP2,Oxidoreductase HTATIP2 OS=Homo sapiens OX=9606 GN=HTATIP2 PE=1 SV=2,-0.13825696963270173,0.014553498106429483,0.028647731312804924
Q96E39,RBMXL1,"RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1",0.10529038948543512,0.014568771582993379,0.028668791014527628
P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",0.059857919577011476,0.014572868511770625,0.028668791014527628
Q8WVD5,RNF141,RING finger protein 141 OS=Homo sapiens OX=9606 GN=RNF141 PE=1 SV=1,-0.05622082507130122,0.014585823273655724,0.028685741667284846
Q9NUX5,POT1,Protection of telomeres protein 1 OS=Homo sapiens OX=9606 GN=POT1 PE=1 SV=1,0.09948998703002543,0.014601987454518914,0.028708992283460917
Q14746,COG2,Conserved oligomeric Golgi complex subunit 2 OS=Homo sapiens OX=9606 GN=COG2 PE=1 SV=1,0.08022026026133611,0.014641777403957609,0.028778665931916678
Q15185,PTGES3,Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,-0.08240994203398522,0.014670304672181084,0.028826167754074688
P26599,PTBP1,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1,0.04240571655777359,0.014768951699839782,0.029011381057439285
P02545,LMNA,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,0.21152849504440407,0.014794625055359636,0.02905318113039439
Q9Y2R4,DDX52,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=3,-0.060169056443286406,0.01480087095008633,0.029056816722675422
O15182,CETN3,Centrin-3 OS=Homo sapiens OX=9606 GN=CETN3 PE=1 SV=2,-0.3504934394355633,0.014824890588333218,0.02909533290889262
Q9Y5T5,USP16,Ubiquitin carboxyl-terminal hydrolase 16 OS=Homo sapiens OX=9606 GN=USP16 PE=1 SV=1,-0.1713837070633754,0.0148387353301859,0.02911386290895821
Q6EEV4,POLR2M,"DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5 OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1",0.0991977349678248,0.014846631175896444,0.029120713537534048
Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3,0.10190893268127343,0.014862481903312111,0.02914315846521343
Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase OS=Homo sapiens OX=9606 GN=FUT8 PE=1 SV=2",0.18086369481158648,0.014933648822901503,0.029274024908693966
Q8NF91,SYNE1,Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4,0.06305915021044983,0.014956117967879571,0.02930938115104319
Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1",0.10603186304369377,0.014996901397069056,0.029375978607700137
Q6P4I2,WDR73,WD repeat-containing protein 73 OS=Homo sapiens OX=9606 GN=WDR73 PE=1 SV=1,0.08210910630937196,0.014998987262491784,0.029375978607700137
Q15363,TMED2,Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1,0.13970011896903256,0.01500985721331127,0.02938856259828668
Q5JPE7,NOMO2,Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1,-0.10785214038206181,0.015056394913787815,0.029470954165176155
P47974,ZFP36L2,mRNA decay activator protein ZFP36L2 OS=Homo sapiens OX=9606 GN=ZFP36L2 PE=1 SV=3,-0.23749212807676656,0.015105129539056943,0.029557595889980616
P62942,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2,0.10198409046591494,0.0151818661892524,0.02969896427317659
Q13433,SLC39A6,Zinc transporter ZIP6 OS=Homo sapiens OX=9606 GN=SLC39A6 PE=1 SV=3,-0.24023943977233753,0.0151888698754695,0.02970387684608232
Q9Y6X8,ZHX2,Zinc fingers and homeoboxes protein 2 OS=Homo sapiens OX=9606 GN=ZHX2 PE=1 SV=1,0.10844512424665154,0.015214190139034117,0.02974459645159479
Q8NCG7,DAGLB,Sn1-specific diacylglycerol lipase beta OS=Homo sapiens OX=9606 GN=DAGLB PE=1 SV=2,0.09374572612142273,0.015359791954029247,0.03002037966303322
P27635,RPL10,60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4,-0.12068183967396262,0.015438292076706274,0.030164889837819706
Q96GC9,VMP1,Vacuole membrane protein 1 OS=Homo sapiens OX=9606 GN=VMP1 PE=1 SV=1,0.11020181646469229,0.015455185982774216,0.030188977760148634
Q2M296,MTHFSD,Methenyltetrahydrofolate synthase domain-containing protein OS=Homo sapiens OX=9606 GN=MTHFSD PE=1 SV=2,0.16287827389463727,0.015465170715185866,0.0301961437387648
P53634,CTSC,Dipeptidyl peptidase 1 OS=Homo sapiens OX=9606 GN=CTSC PE=1 SV=2,0.10018171081325478,0.015467988330791951,0.0301961437387648
Q7L273,KCTD9,BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens OX=9606 GN=KCTD9 PE=1 SV=1,0.05820342548970148,0.015495604697342551,0.0302411269949318
P07954,FH,"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",0.07055344415713227,0.015529161192858106,0.030297673003003185
P10599,TXN,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,0.16106646745981257,0.01563264772619792,0.03048718078786257
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3,-0.06471942840658373,0.015638286867497048,0.03048718078786257
