accession,symbol,description,log2FC,pval,padj
Q5T0F9,CC2D1B,Coiled-coil and C2 domain-containing protein 1B OS=Homo sapiens OX=9606 GN=CC2D1B PE=1 SV=1,0.009345902717353916,0.5468992410457751,0.615506005411858
Q9BV40,VAMP8,Vesicle-associated membrane protein 8 OS=Homo sapiens OX=9606 GN=VAMP8 PE=1 SV=1,0.019892189149661732,0.5469931328885895,0.6155069085533277
Q9Y276,BCS1L,Mitochondrial chaperone BCS1 OS=Homo sapiens OX=9606 GN=BCS1L PE=1 SV=1,-0.024277138475765923,0.5472069632437022,0.6156427498668299
Q13316,DMP1,Dentin matrix acidic phosphoprotein 1 OS=Homo sapiens OX=9606 GN=DMP1 PE=1 SV=2,0.07736974592963941,0.5475498784740088,0.6159237489741658
Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B OS=Homo sapiens OX=9606 GN=UPF3B PE=1 SV=1,0.013430661834517466,0.5478048727819752,0.6161057694904609
P53804,TTC3,E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens OX=9606 GN=TTC3 PE=1 SV=2,-0.03552249613624525,0.5481367610975822,0.6163741946219752
P21127,CDK11B,Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4,-0.006327919464468756,0.5485008025752921,0.6166786782227225
P61254,RPL26,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,-0.0685412605206932,0.5495183171053131,0.6177123736640939
Q15311,RALBP1,RalA-binding protein 1 OS=Homo sapiens OX=9606 GN=RALBP1 PE=1 SV=3,0.014676590237114576,0.5496070620486788,0.6177123736640939
Q99797,MIPEP,Mitochondrial intermediate peptidase OS=Homo sapiens OX=9606 GN=MIPEP PE=1 SV=2,-0.011323513814066544,0.5505800259663639,0.618700736181101
Q96JB2,COG3,Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3,0.03354291340932006,0.5511659851091841,0.6192539496247962
Q8N2M8,CLASRP,CLK4-associating serine/arginine rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=4,0.01768581606165487,0.5521476171435267,0.6202514516739718
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1 OS=Homo sapiens OX=9606 GN=CIAO1 PE=1 SV=1,0.03673210799609028,0.5532295549108518,0.6213612734959321
P61204,ARF3,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,0.03306507037722817,0.5534147572199227,0.6214637185356877
P0C2W1,FBXO45,F-box/SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FBXO45 PE=1 SV=1,0.02207468726002504,0.5544072006536558,0.62247247592494
P53814,SMTN,Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7,-0.0803171068496118,0.5549108711376116,0.6229322037286738
Q96EW2,HSPBAP1,HSPB1-associated protein 1 OS=Homo sapiens OX=9606 GN=HSPBAP1 PE=1 SV=1,-0.03991256768076923,0.555430759043064,0.6234099777275063
Q8N3X1,FNBP4,Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,-0.011030599793169227,0.5557644839344733,0.6236786774906208
Q9UMF0,ICAM5,Intercellular adhesion molecule 5 OS=Homo sapiens OX=9606 GN=ICAM5 PE=1 SV=3,0.0447718429955668,0.5560255633490174,0.6238657771701516
Q9NVX2,NLE1,Notchless protein homolog 1 OS=Homo sapiens OX=9606 GN=NLE1 PE=1 SV=4,-0.029631982557595193,0.55612865571386,0.6238755805191792
O00170,AIP,AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2,0.009022121216329282,0.5562432066717521,0.6238982328267387
O00257,CBX4,E3 SUMO-protein ligase CBX4 OS=Homo sapiens OX=9606 GN=CBX4 PE=1 SV=3,-0.02837105911486848,0.5563787752659712,0.6239444474319202
P18085,ARF4,ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3,0.031283540309248625,0.5565907179285028,0.6240762806415568
Q96BD5,PHF21A,PHD finger protein 21A OS=Homo sapiens OX=9606 GN=PHF21A PE=1 SV=1,0.05498511699650033,0.5569998608111694,0.6244291420283913
Q6UWP8,SBSN,Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2,0.07918074963243349,0.558313716646359,0.6257959475276701
Q9NWR8,MCUB,"Calcium uniporter regulatory subunit MCUb, mitochondrial OS=Homo sapiens OX=9606 GN=MCUB PE=1 SV=2",0.038849923905766914,0.5591910406064481,0.6266730780491245
P62330,ARF6,ADP-ribosylation factor 6 OS=Homo sapiens OX=9606 GN=ARF6 PE=1 SV=2,0.023831773866674844,0.5609266934373751,0.628511658533795
Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR OS=Homo sapiens OX=9606 GN=AMFR PE=1 SV=2,-0.018598163542262736,0.5613170999042059,0.6288071874070649
O75175,CNOT3,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1,0.006500656188718201,0.5614294519242403,0.6288071874070649
Q15119,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDK2 PE=1 SV=2",0.04473901466709851,0.5614757462872522,0.6288071874070649
Q96HP4,OXNAD1,Oxidoreductase NAD-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OXNAD1 PE=1 SV=1,-0.044869887888270954,0.5624886016939121,0.6298348237764856
P24863,CCNC,Cyclin-C OS=Homo sapiens OX=9606 GN=CCNC PE=1 SV=2,-0.03360281182190761,0.5632672586217994,0.6302981584619597
Q9ULI0,ATAD2B,ATPase family AAA domain-containing protein 2B OS=Homo sapiens OX=9606 GN=ATAD2B PE=1 SV=3,0.04710508122511081,0.5633772370733162,0.6302981584619597
Q8N4C6,NIN,Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=4,0.025584777093965894,0.563390155028483,0.6302981584619597
Q8N108,MIER1,Mesoderm induction early response protein 1 OS=Homo sapiens OX=9606 GN=MIER1 PE=1 SV=2,0.02823819855098053,0.5634269061346472,0.6302981584619597
P78332,RBM6,RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5,0.01922405202512323,0.5634302048570452,0.6302981584619597
Q6SPF0,SAMD1,Atherin OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1,-0.016756990259689658,0.5635016771773287,0.6302981584619597
P49821,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4",-0.019602722248651006,0.5635696782860111,0.6302981584619597
Q13438,OS9,Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1,0.022231207348154314,0.5642548015660455,0.6309576776517322
Q15427,SF3B4,Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1,0.020348242751997425,0.5643992746989469,0.631012513410456
Q15643,TRIP11,Thyroid receptor-interacting protein 11 OS=Homo sapiens OX=9606 GN=TRIP11 PE=1 SV=3,0.0224648992994243,0.5645117613519339,0.6310315749888397
P00480,OTC,"Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OTC PE=1 SV=3",0.10848438014372563,0.5656046295887126,0.6321463507167965
Q9BV20,MRI1,Methylthioribose-1-phosphate isomerase OS=Homo sapiens OX=9606 GN=MRI1 PE=1 SV=1,-0.021523302226697183,0.5658359273529971,0.6322871689916777
Q9BUA3,SPINDOC,Spindlin interactor and repressor of chromatin-binding protein OS=Homo sapiens OX=9606 GN=SPINDOC PE=1 SV=3,-0.01290515753452115,0.5659976632003358,0.6322871689916777
Q71U36,TUBA1A,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0.009140241636321544,0.5660175065429129,0.6322871689916777
P23025,XPA,DNA repair protein complementing XP-A cells OS=Homo sapiens OX=9606 GN=XPA PE=1 SV=1,-0.016909843639712374,0.5670273209666952,0.6333082172688832
