gene_id,log2FC,pval,padj,symbol
ENSMUSG00000032867,-0.17475111179786212,0.0036498016435142764,0.22401235220747992,Fbxw8
ENSMUSG00000026854,-0.21240439202598377,0.0037059351326167262,0.22401235220747992,Usp20
ENSMUSG00000028454,-0.16501601097989366,0.003356375736279309,0.22401235220747992,Pigo
ENSMUSG00000041958,-0.1935583214821529,0.003788898097787553,0.2244874040475955,Pigs
ENSMUSG00000032698,-0.33613038681608043,0.003775569550109625,0.2244874040475955,Lmo2
ENSMUSG00000036104,-0.23902871513587126,0.0039213706722884024,0.22522071831800364,Rab3gap1
ENSMUSG00000031640,0.27260952511156933,0.003926537954358144,0.22522071831800364,Gm45753
ENSMUSG00000042642,-0.14757111940568446,0.0038390564066713103,0.22522071831800364,Flad1
ENSMUSG00000024182,-0.14875634399621118,0.00390640867936145,0.22522071831800364,Axin1
ENSMUSG00000037553,-0.2186908565073578,0.0038542139092909915,0.22522071831800364,Zdhhc18
ENSMUSG00000066406,-0.33892386518080053,0.00395473261519088,0.22522071831800364,Akap13
ENSMUSG00000032314,0.10840582902883145,0.003955641471486527,0.22522071831800364,Etfa
ENSMUSG00000025151,-0.2010312176479797,0.003946152143073465,0.22522071831800364,Maged1
ENSMUSG00000025935,0.2098802102799513,0.003999010031455268,0.2265846848890577,Tram1
ENSMUSG00000059981,-0.2570893225141171,0.004022028139973056,0.22678798284910873,Taok2
ENSMUSG00000057469,-0.2073629612123452,0.00406374732160082,0.22694764946279797,E2f6
ENSMUSG00000026127,-0.11883059057213502,0.0040507833640625445,0.22694764946279797,Imp4
ENSMUSG00000034126,-0.1547238701832172,0.004174279317691872,0.22767377661728755,Pomt2
ENSMUSG00000079641,0.25669948158786643,0.00413300673128073,0.22767377661728755,Rpl39
ENSMUSG00000027108,0.21487415860524967,0.00414304408222354,0.22767377661728755,Ola1
ENSMUSG00000034066,-0.34363613480559113,0.004162981508170654,0.22767377661728755,Farp2
ENSMUSG00000001127,-0.15092757162621728,0.0041226704531988345,0.22767377661728755,Araf
ENSMUSG00000001751,-0.18079260350963394,0.004244256302064436,0.2299768524407947,Naglu
ENSMUSG00000014313,0.19535588123826497,0.004267620307680781,0.2299768524407947,Cox6c
ENSMUSG00000074247,-0.16398107123749994,0.004275614888592567,0.2299768524407947,Dda1
ENSMUSG00000024037,-0.2021038089944872,0.0044160324742538865,0.2322556988679009,Wdr4
ENSMUSG00000020441,-0.22257268424739549,0.004357924011675026,0.2322556988679009,2310033P09Rik
ENSMUSG00000002343,-0.19498779765718097,0.004451826195855117,0.2322556988679009,Armc6
ENSMUSG00000039463,-0.18805332989922485,0.004344053299866675,0.2322556988679009,Slc9a8
ENSMUSG00000039427,-0.1646859581109616,0.004457271808294192,0.2322556988679009,Alg1
ENSMUSG00000044730,-0.2765867638235273,0.0044565872511842805,0.2322556988679009,Airim
ENSMUSG00000069020,-0.1581841849611071,0.004385887909127101,0.2322556988679009,Urm1
ENSMUSG00000005779,-0.19501860609039334,0.004498788957346024,0.2333771764895235,Psmb4
ENSMUSG00000028158,-0.20115102890089986,0.004526380955997451,0.23376955096638166,Mttp
ENSMUSG00000044857,-0.10868789809431323,0.004661754995544446,0.23530944827074518,Lemd2
ENSMUSG00000030772,-0.5370825667606038,0.004598072625514593,0.23530944827074518,Dkk3
ENSMUSG00000024212,-0.1515789087267344,0.004633404822409217,0.23530944827074518,Mllt1
ENSMUSG00000002319,-0.17322847564945293,0.004668972687447715,0.23530944827074518,Ipo4
ENSMUSG00000062300,-0.24027788440352116,0.004589144677440294,0.23530944827074518,Nectin2
ENSMUSG00000027425,-0.12647889341461643,0.004677158327519952,0.23530944827074518,Kat14
